t	slot	cpu	onchain	submitted	bp1	bp2	bp3	relay11	relay12	relay13	relay21	relay22	relay23	relay31	relay32	relay33
1787319866	43	2	-	272.9943868217054	-	-	-	17922	-	-	-	-	-	-	-	-
1787319876	58	7	-	333.0741572327044	780	675	774	21491	782	728	646	776	610	580	596	610
1787319886	58	7	-	366.22033898305085	3224	3085	3212	25180	3228	3172	3086	3216	3056	3026	3042	3054
1787319896	84	9	-	303.03389830508473	5028	5027	5028	25180	5028	5028	5028	5028	5024	5404	5404	5410
1787319906	84	6	0	248.3412040229885	7396	7318	7428	25305	7444	6940	7300	7438	7272	7176	7252	7272
1787319916	84	7	0	187.57627118644066	9824	9948	9870	25305	9882	9110	9964	9870	9950	9833	9657	9954
1787319926	114	13	85.813	122.59322033898304	7134	12048	7216	25305	7224	11386	12110	7216	12126	7165	6967	7224
1787319936	114	8	84.98275000000001	125.72881355932203	9534	9413	9522	24059	9548	8552	9399	9522	9366	9329	8854	9362
1787319946	114	7	84.48624	128.6271186440678	11976	12093	11966	27466	11988	10666	12084	11783	12052	11939	11045	12046
1787319956	143	11	205.55172413793102	124.37288135593221	7098	7014	7088	27466	7108	5096	7204	6136	7168	7141	5697	7164
1787319966	143	8	202.0677966101695	194	9780	9668	9763	24891	9794	6590	9638	8606	9608	9579	7982	9604
1787319976	143	8	203.1399172413793	260.86499999999995	11974	12104	11956	28916	12234	8704	12076	10158	12048	12015	10089	12044
1787319986	173	11	235.60834137931033	285.0829715517241	7228	7202	7218	24052	7478	3472	7332	5344	7298	7516	5057	7294
1787319996	173	7	234.61016949152543	284.56366724137933	9910	9810	9896	28079	9918	5012	9772	7785	9742	9706	7401	9732
1787320006	173	8	235.123075862069	310.49787327586205	12104	12246	12078	32100	12358	6627	12212	10025	12176	12138	9248	12172
1787320016	173	7	115.9322033898305	322.22033898305085	14792	14682	14760	33564	14804	8755	14652	12425	14618	14824	11638	14618
1787320026	173	17	115.9322033898305	254.108058045977	17232	17114	17188	33564	17246	10700	17096	14857	17058	17016	14018	17056
1787320037	216	8	233.86775862068964	231.39887931034482	12027	12170	12260	29490	12282	5837	12380	10059	12346	12320	9210	12340
1787320047	216	8	118.30508474576271	271.08474576271186	14709	14601	14692	33520	14720	8277	14572	12433	14540	14512	10856	14536
1787320057	216	7	118.30508474576271	210.84575172413795	17143	17035	17132	34132	17158	10713	17012	14869	16976	16948	12959	16972
1787320067	248	31	289.89830508474574	181.54237288135593	9072	8970	9064	26161	9080	2823	8934	6931	9086	9110	5118	9110
1787320077	256	8	296.40677966101697	225.77966101694915	10796	10690	10778	29258	10802	4729	10652	8269	10618	10594	6784	10618
1787320087	256	9	296.40677966101697	294.3220338983051	13232	13112	13210	33681	13244	6724	13336	10645	13292	13274	9283	13300
1787320097	282	8	329.6779661016949	277.864406779661	6085	5983	6073	26825	6097	1140	5949	3402	5917	5887	2140	5909
1787320107	282	8	335.3620689655172	278.45762711864404	8523	8669	8513	31256	8537	3826	8635	5474	8603	8571	4578	8595
1787320117	282	7	331.9860908045977	328.93220338983053	10959	10861	10939	34087	11223	6260	11073	8144	11037	11007	6868	11033
1787320127	282	42	152.47815000000003	290.7586206896552	13403	13483	13373	34087	13523	3329	13491	5179	13473	13447	9156	13463
1787320137	316	8	240.77966101694915	278.47457627118644	10420	10312	10412	32234	10430	5665	10278	7489	10248	10230	6115	10252
1787320147	316	7	240.77966101694915	247.66202758620685	12860	12752	12604	34261	12866	8095	12714	9671	12686	12662	8552	12682
1787320157	316	7	89.20338983050847	198.74576271186442	15294	15182	15282	34261	15310	10525	15154	11195	15128	15342	10989	15120
1787320167	349	8	225.135593220339	162.22878620689656	9292	9182	9128	28379	9302	4785	9150	5255	9122	9088	5189	9116
1787320177	359	8	231.64406779661016	188.6949152542373	10978	10879	10877	31418	10994	6660	10842	7145	10806	11026	7313	10802
1787320188	371	8	295.4406779661017	233.43578879310343	3805	3703	3785	25417	3815	1208	3661	1260	3634	3606	1072	3629
1787320198	386	8	308.45762711864404	225.54237288135593	4937	4937	4937	28333	4937	2726	4931	2762	4934	4937	2828	4927
1787320208	386	8	308.45762711864404	260.3676724137931	7287	7186	6821	31695	7299	5164	7145	5198	7122	7089	5010	7109
1787320218	386	7	308.45762711864404	311.06779661016947	9733	9611	9060	34416	9745	7604	9577	7632	9552	9775	7469	9555
1787320228	386	8	172.52542372881356	265.17339109195404	12175	12034	11444	34416	12187	10044	11912	10068	11990	11969	9163	11995
1787320238	386	8	166.01694915254237	207.89830508474577	14611	14446	13882	34416	14629	12481	14165	12508	14429	14649	11763	14675
1787320248	430	9	94.55932203389831	179.76035948275864	11755	11650	11203	31232	11768	9837	11285	9823	11584	11550	8858	11578
1787320258	443	10	257.0508474576271	194.4915254237288	3512	3398	3164	24314	3513	1802	3069	1684	3328	3551	1077	3571
1787320268	443	8	261.48275862068965	192.71186440677965	5946	6059	5598	28755	6197	4364	5594	4358	6013	5987	3511	6011
1787320278	443	8	258.8635729885058	224.64406779661016	8386	8233	8036	32392	8639	6766	7205	6702	8454	8429	5953	8409
1787320288	443	7	258.59337413793105	260.55172413793105	10780	10879	10469	34363	11079	9204	9641	9136	10894	10869	8389	10532
1787320298	443	7	257.0508474576271	256.135593220339	13460	13283	13142	34363	13519	11636	12075	11290	13328	13305	10822	12961
1787320308	443	7	176.19568103448276	212.90066379310343	15904	15693	15336	34363	15965	14074	14494	13720	15774	15747	13255	15374
1787320318	501	8	47.067796610169495	182.5084745762712	15072	14912	14869	33115	15084	13357	13620	12961	14904	14875	12542	14658
1787320328	501	8	47.067796610169495	134.02224281609196	17512	17326	17065	34376	17524	15797	16056	15397	17344	17315	14890	17051
1787320338	523	8	277.9491525423729	81.50847457627118	5922	5714	5854	21561	5932	4353	4483	3859	5754	5726	3294	5586
1787320349	523	28	277.9491525423729	125.6765172413793	8367	8124	8051	25591	8376	6791	6018	6293	8196	8166	5352	8026
1787320359	540	8	366.6779661016949	186.01694915254237	5063	4969	5060	23515	5081	3844	2772	3322	4899	4869	2285	4893
1787320369	557	12	421.50847457627117	247.20338983050848	4052	4052	4052	24207	4052	2921	1723	2361	4052	4052	1004	4052
1787320379	557	10	374.4406779661017	277.1186440677966	6412	6304	6391	27822	6424	5353	2953	4769	6238	6212	3186	6232
1787320389	569	7	440.8474576271186	325.135593220339	4618	4534	4623	27836	4652	3268	2180	3203	4712	4682	2162	4708
1787320399	569	8	209.96610169491527	370.2542372881356	7050	6974	7051	31473	7090	5070	4378	5642	6906	6876	4356	6902
1787320409	597	14	172.15254237288136	353.9491525423729	6702	6648	6702	34293	6702	4720	4260	5280	6702	6702	4254	6702
1787320419	597	8	165.64406779661016	336.52542372881356	8904	8794	8890	34197	8912	7110	6452	7407	8726	8706	6430	8720
1787320429	597	8	112.72413793103448	276.6779661016949	11346	11228	11324	34197	11356	9552	9136	9789	11406	11391	9112	11404
1787320439	597	7	44.40677966101695	210.135593220339	14024	13900	14004	34197	14034	12212	11220	12045	13832	13828	11549	13846
1787320449	597	7	44.67777586206896	145.82758620689654	16222	16090	16188	34197	16234	14404	13620	14195	16266	16242	13878	16288
1787320459	597	8	44.40677966101695	75.10534137931035	18906	18766	18859	34197	18920	17063	16018	16012	18704	18661	16302	18728
1787320469	655	10	110.71186440677965	42.42372881355932	14272	14169	14256	27844	14282	12581	11552	11364	14099	14075	11840	14096
1787320479	655	9	110.71186440677965	67.30437701149427	16710	16609	16450	31860	16720	14995	13972	13806	16539	16510	14268	16532
1787320489	674	9	349.4237288135593	124.15254237288136	4500	4396	4486	20791	4508	3111	2082	1584	4330	4299	2384	4324
1787320499	687	8	406.91525423728814	180.2410459770115	3284	3174	3082	20985	3294	2055	1012	401	3114	3086	1322	3112
1787320509	687	8	406.91525423728814	253.67796610169492	5724	5610	5708	25014	5732	4488	3438	2841	5554	5524	3766	5552
1787320520	687	8	406.91525423728814	315.28212643678165	8160	8044	7902	29035	8172	6924	5880	5257	7990	7964	6144	7988
1787320530	687	8	296.20338983050846	376.9491525423729	10590	10482	10571	33053	10602	9356	8308	7625	10420	10392	8571	10414
1787320540	687	7	296.20338983050846	322.5762711864407	13030	12924	12935	33932	13042	11794	10984	10065	13106	13080	10931	13098
1787320550	687	7	57.49152542372882	271.3050847457627	15474	15366	15373	33932	15488	14212	13182	12489	15306	15274	13076	15298
1787320560	687	7	0	210.57627118644066	17910	17804	17807	33932	17930	16644	15860	14919	17990	17960	15760	17980
1787320570	754	9	49.932203389830505	154.08474576271186	16788	16683	16773	31507	16798	15724	14654	13867	16617	16594	14556	16614
1787320580	754	9	49.932203389830505	121.69491525423729	19214	19015	19116	33813	19230	18098	17330	16245	19294	19266	17236	19292
1787320590	770	8	290.2413793103448	97.30508474576271	7346	7244	7346	22385	7358	6379	5404	4593	7176	7146	5236	7184
1787320600	788	8	392.13793103448273	146.05084745762713	3398	3358	3388	20094	3412	2702	2010	953	3474	3440	1548	3468
1787320610	797	10	392	210.3448275862069	5428	5320	5412	23275	5440	4868	3970	2727	5256	5230	3142	5252
1787320620	802	8	400.629616091954	271.91379310344826	6964	7104	7196	26453	7217	6802	5886	4619	7040	7251	4950	7032
1787320630	811	8	355.08474576271186	301.72008908045973	8898	8449	8872	29503	8908	8676	7787	6493	8403	8698	6841	8718
1787320640	826	8	472.8813559322034	343	4048	3165	4038	25996	4060	3997	3140	1715	2906	3850	2189	3874
1787320650	836	8	250.5084745762712	330.6625465517241	5092	4658	4838	28196	5100	5038	4622	3212	4024	4892	3695	4916
1787320660	836	8	150.33898305084745	350.35593220338984	7528	7098	7514	32234	7542	7480	7064	5650	6230	7332	6129	7356
1787320670	836	8	143.83050847457628	307.1595367816092	9968	9536	9712	33409	9984	9924	9506	7538	8194	9776	8565	9798
1787320681	869	46	137.32203389830508	246.08474576271186	12258	11912	12174	33409	12278	12256	11924	9834	10298	12216	10983	12230
1787320691	869	9	194.0677966101695	240.88766896551726	10664	10396	10652	33424	10674	10610	10624	8226	8966	10710	9465	10732
1787320701	882	8	217.11864406779662	235.59322033898306	4467	4362	4464	27528	4480	4414	4332	2214	2618	4270	3145	4294
