t	slot	cpu	onchain	submitted	bp1	bp2	bp3	relay11	relay12	relay13	relay21	relay22	relay23	relay31	relay32	relay33
1787325056	142	8	0	8.254237288135593	20012	19876	19311	24480	19995	17504	19928	15932	19916	19986	20080	19872
1787325066	150	8	14.558254545454545	24.779661016949152	21464	21122	20733	24828	21499	19132	21604	17307	21604	21386	21514	21550
1787325076	161	8	27.515123809523814	41.30508474576271	22666	22736	22005	25045	22629	20330	22974	18278	22972	22658	22902	22920
1787325086	171	10	33.03225806451613	51.56896551724138	24582	24370	23877	25214	24053	21929	24884	19863	24878	24552	24363	24782
1787325096	183	8	45.541333333333334	62.46551724137931	25251	25145	25235	25279	25249	23550	25111	21278	25075	25051	25067	25071
1787325106	183	2	45.678431372549014	69.64745632183909	25536	25536	25536	25536	25536	25536	25536	22905	25536	25536	25536	25536
1787325116	183	2	45.559322033898304	60.96610169491525	25536	25536	25536	25536	25536	25536	25536	24806	25536	25536	25536	25536
1787325126	210	9	261.40677966101697	74.8135593220339	13118	13002	13115	13697	13134	13082	12995	13120	12966	12935	12950	12961
1787325136	210	8	248.38983050847457	120.25670258620688	15552	15426	15311	17730	15576	15525	15437	15562	15404	15377	15390	15401
1787325146	210	8	241.88135593220338	185.77966101694915	17998	17870	17989	21758	18014	17964	17877	18002	17842	18059	17834	17843
1787325157	210	8	228.864406779661	229.0766221264368	20355	20300	20429	25783	20451	20398	20311	20440	20280	20251	19341	20280
1787325167	254	12	432.8135593220339	294.76271186440675	10520	10481	10560	29300	10586	10538	10676	10580	10631	10642	9191	10638
1787325177	254	7	432.8135593220339	363.10169491525426	12776	12894	12998	21250	12868	12964	12724	13016	12202	12836	10914	12832
1787325187	254	8	203.94915254237287	394.35593220338984	15184	15574	15438	25690	14800	15404	15406	15452	14313	15520	12876	15518
1787325197	285	22	372.52542372881356	388.77966101694915	7358	17537	7738	29048	6305	17654	17420	7740	16359	7814	14272	17600
1787325207	293	8	379.03389830508473	375.2128293103448	9258	9377	9664	22394	7901	9632	9341	9401	7798	9524	5753	9522
1787325217	293	8	379.03389830508473	382.3050847457627	11690	11814	12104	26433	10067	12064	11778	11233	9951	12204	7784	11962
1787325227	310	8	324.87931034482756	378.64238160919535	5527	5637	5945	22125	3505	6131	5805	5115	3407	6007	1412	6035
1787325237	310	8	324.87931034482756	388.1186440677966	7965	7584	8379	25756	5261	8323	8001	7309	4567	8443	3850	8476
1787325247	310	8	321.4247603448276	387.7586206896552	10401	9959	10817	30182	7668	11007	10677	9055	6200	10883	6286	10917
1787325257	342	8	218.79661016949152	388.77966101694915	8947	7990	9371	29822	5591	9319	8945	7276	4317	9184	4588	9215
1787325267	342	9	212.28813559322035	387.35202413793104	11379	10149	11567	33743	8029	11657	11383	9713	6361	11621	7016	11655
1787325277	342	7	212.28813559322035	320.6779661016949	13815	12307	14235	33743	10244	14092	13602	11778	7771	14059	9452	14097
1787325287	342	14	68	257.1471816091954	16253	14458	16663	33743	11887	16517	16013	13974	9474	16495	11888	16535
1787325297	378	8	183.3050847457627	238.05084745762713	11726	9676	12120	29749	6558	11960	11454	9429	4772	12206	7379	12022
1787325307	378	8	183.3050847457627	230.17682327586206	14162	11832	14556	33468	8213	14384	13781	11727	6673	14382	9813	14448
1787325318	378	24	115.30508474576271	167.6949152542373	16596	14073	16992	33468	9910	16822	16169	14159	8540	17068	12481	16892
1787325328	408	8	245.135593220339	154.82672126436782	11212	8689	11602	28719	4318	11440	10759	8659	3005	11466	6889	11550
1787325338	423	10	353.93220338983053	226.20338983050848	7143	4618	7533	26095	960	7367	6662	4419	830	7635	3022	7731
1787325348	423	8	353.93220338983053	286.7224623563218	9567	7050	9969	30117	3396	9729	9089	6468	3266	9821	5216	9923
1787325358	445	11	304.22033898305085	297	7977	5480	8385	29767	1808	8131	7248	4710	1944	8497	3840	8533
1787325368	445	7	304.22033898305085	292.132291954023	10415	7916	10819	32835	4242	10559	9660	6773	4134	10689	6034	10723
1787325378	445	7	304.22033898305085	293.66101694915255	12845	10354	13259	32835	6399	13003	12338	8620	6647	13371	8405	13411
1787325388	445	7	174.38983050847457	235.59322033898306	15519	13034	15683	32835	9075	15677	14616	11269	8942	15807	10342	15855
1787325398	445	7	66.04243965517242	167.18965517241378	17708	15226	18117	32835	11229	17855	17032	13251	11375	18239	12740	18293
1787325408	445	7	65.59322033898304	97.6896551724138	20390	17900	20795	32835	13905	20541	19354	15647	13812	20677	15170	20737
1787325418	445	30	0	36.63389310344828	22578	20094	22987	32835	16305	22967	21788	17929	16246	23327	17695	23177
1787325428	516	15	87.2542372881356	40.154436206896555	19636	17204	20075	30601	13203	19817	18586	14869	13124	20327	14248	20029
1787325438	519	8	93.76271186440678	87.52542372881356	21546	19092	21929	32469	15093	21705	20472	16645	14982	22031	16388	21887
1787325448	519	8	93.76271186440678	87.75683793103448	23986	21522	24361	32469	17531	24141	22631	18921	17158	24227	18572	24333
1787325458	519	7	93.76271186440678	87.52542372881356	26426	23958	26787	32469	19957	26573	24777	21305	18572	26905	21250	27015
1787325469	553	8	322.6271186440678	97.85124137931034	15019	12585	15450	19845	8547	15200	13248	9855	7000	15206	9621	15404
1787325479	553	8	322.6271186440678	173.05084745762713	17453	15021	17884	23876	10576	17630	15676	11917	9672	17746	12192	18084
1787325489	553	9	235.3728813559322	191.15254237288136	19881	17457	20322	27900	11867	20066	18108	14337	11860	19930	14359	20280
1787325499	582	39	423.3220338983051	209.91525423728814	10524	8102	10825	19725	2257	10685	8931	4797	2359	10769	5218	11093
1787325509	589	9	429.8305084745763	274.89830508474574	12488	10094	12815	23167	4091	12647	10697	6585	4395	12505	6968	12849
1787325519	603	8	560.271186440678	339.4406779661017	7140	4738	7479	19273	1206	7315	5309	1218	1292	7405	1792	7751
1787325529	603	10	331.40677966101697	374.905499137931	9576	7180	9913	23306	3648	9749	7484	3658	3490	9593	3986	9947
1787325539	620	8	395.3965517241379	378.9491525423729	8528	6144	8899	23652	2612	8685	6442	2634	2458	8777	3140	9131
1787325549	637	10	511.2931034482759	374.03389830508473	4096	2000	4505	21064	470	4485	2276	700	484	4323	526	4681
1787325559	650	21	308.1694915254237	383.8965517241379	6328	3998	6737	24488	2710	6483	4236	2696	2488	6319	2508	6655
1787325569	650	8	316.1608408045977	377.1212801724139	8106	6020	8529	27976	4508	8489	6233	4492	4500	8337	4538	8673
1787325579	650	8	184.23728813559322	380.7896206896552	10784	8319	11209	32015	7182	10925	8294	7168	6749	10765	6976	11113
1787325589	650	8	126.94915254237289	343.6779661016949	13210	10734	13647	33508	9624	13363	10718	9596	8569	13343	9654	13797
1787325599	682	8	187.76271186440678	308.4817718390805	11892	9368	12343	31972	8308	12031	9366	8190	7147	11791	8036	12209
1787325609	682	7	73.83050847457628	275.5593220338983	14328	11786	14779	33562	10742	14465	11750	10628	9581	14411	10722	14643
1787325620	707	10	230.4406779661017	214.61620689655172	6572	3976	7049	23634	3008	6725	4006	2904	1853	6419	2728	6891
1787325630	711	9	236.94915254237287	216.38983050847457	8560	5683	9051	27122	5018	8739	5736	4902	3865	8675	4978	8885
1787325640	711	8	236.94915254237287	209.4751568965517	10992	7843	11486	31152	7452	11175	8152	7287	6305	10857	7172	11327
1787325650	711	7	236.94915254237287	241.38983050847457	13426	9995	13897	33780	9888	13615	10584	9717	8745	13505	9602	13767
1787325660	743	8	283.1186440677966	221.51756034482756	9396	5933	9825	29534	5874	9543	6786	5709	4813	9409	5682	9927
1787325670	755	8	414.47457627118644	274.22033898305085	4000	954	4411	25184	1043	4149	960	1044	882	3783	876	4283
1787325680	755	8	244.84745762711864	332.50847457627117	6438	3390	6821	29624	3480	6585	3184	3480	3554	6261	3550	6967
1787325690	773	8	285.5593220338983	331.3898305084746	6026	3014	6409	30278	3094	6179	2050	3100	2920	5565	2922	6313
1787325700	773	7	290.48275862068965	323.35593220338984	8462	5454	8815	33957	5310	8619	3857	5542	5608	8245	5608	8999
1787325710	797	8	314.50847457627117	315.7586206896552	9206	6160	9567	33784	6092	9377	3989	6325	6156	8679	6154	9509
1787325720	804	7	215.2856275862069	282.58620689655174	10916	7850	11251	33892	7794	11107	5981	7984	8112	10581	8112	11455
1787325730	817	7	96.14910862068965	226.12344396551723	12598	9538	12645	33888	9494	12793	7220	9670	9554	11939	9446	12865
1787325740	817	8	95.69491525423729	159.22033898305085	15032	11976	15295	33888	11932	15233	9120	12102	11994	14284	11870	15307
1787325750	817	7	48.59452298850575	94.19567701149425	17223	14404	17449	33888	14348	17663	11410	14540	14414	16080	14291	17743
1787325760	817	7	48.47457627118644	47.11864406779661	19904	16836	20098	33888	16614	20101	13437	16964	16848	18269	16721	20183
1787325770	817	7	19.52542372881356	19.423728813559322	22342	19262	22509	33888	18887	22531	15369	19226	19520	20587	19381	22865
1787325781	865	8	210.33898305084745	32.59322033898305	12836	9784	13017	23304	9289	13033	5439	9149	9778	10753	9693	13135
1787325791	873	8	203.83050847457628	82.16949152542372	14720	11690	14869	26600	11171	14925	7377	10784	11932	12859	11763	15249
1787325801	873	8	203.83050847457628	143.6622658045977	17156	14120	17279	30632	13605	17361	9815	13220	14122	15049	13953	17445
1787325811	873	7	203.83050847457628	201.20338983050848	19596	16562	19683	33726	16039	19799	12227	15442	16557	17621	16619	20129
1787325821	909	14	427.6271186440678	225.94605775862067	8504	5492	8607	22261	4798	8699	846	4122	5474	6327	5331	8791
1787325831	916	10	434.135593220339	297.6779661016949	10470	7484	10561	25691	6661	10677	2854	5551	7454	8515	7545	10773
1787325841	916	8	236.8135593220339	330.74933275862065	12902	9920	12965	29702	9087	13113	5292	7555	9892	10671	9739	13199
1787325851	916	7	230.3050847457627	343.4406779661017	15334	12358	15367	33742	11140	15545	7312	9946	12306	13341	12409	15637
1787325861	916	7	234.27586206896552	275.10169491525426	17770	15034	17771	33790	13556	18223	9480	12023	14986	15765	14845	18323
1787325871	960	58	230.3050847457627	235.32758620689654	20194	17358	20255	33790	16000	20453	11183	7946	17358	17901	16733	20673
1787325881	960	9	113.85272068965517	239.8828034482759	16016	13298	15993	30772	11738	16187	6565	9918	13264	13803	12606	16542
1787325891	960	8	106.77966101694915	228.63768965517244	18694	15732	18641	33749	14418	18861	8179	12010	15692	16083	15011	18973
1787325901	960	8	106.77966101694915	159	21132	18170	21045	33749	16830	21301	10144	14444	18132	18235	17687	21415
1787325911	996	8	336.91525423728814	121.71518534482757	9774	6795	9663	21357	5454	9919	886	2999	6728	6401	6051	10065
1787325921	1011	39	336.91525423728814	194.05084745762713	12150	9183	6325	25317	2160	12305	3292	0	9156	3337	8031	12489
1787325932	1021	52	331.6949152542373	248.68388477011496	8296	5362	8082	23130	3978	8441	1750	1450	5326	4962	4271	8999
1787325942	1030	14	351.22033898305085	243.38983050847457	9282	6370	9149	25244	5004	9436	2800	2906	6320	5917	5257	9527
1787325952	1037	10	357.728813559322	266.8305084745763	11206	8308	11099	28634	6769	11365	5002	4840	8502	8039	7453	11725
