phase	t	slot	bpsUp	cpu	diskGB	confirmed	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	0	37	3	2	118	0	279.8263267441861	0.06663502283333333	0.0000385895	2	-	-	-	18619	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	10	57	3	7	118	0	336.14230769230767	0.0663804115	0.000039719666666666665	3	706	622	716	22049	715	644	586	714	556	526	526	536	-	-	-	-	-	-	-	-	-	-	-	-
1	20	74	3	8	124	6.49968813559322	356.8474576271186	0.179083366	0.00008852400000000001	4	2674	2628	2730	24607	2630	2644	2628	2744	2607	2560	2565	2568	32.70886666666667	31.518518518518523	32.592600000000004	0	31.92544814814815	31.66666666666667	31.70370370370371	33.250844444444446	31.70370370370371	31.777777777777782	31.68518518518519	31.66666666666667
1	30	74	3	8	126	6.512220689655172	302.79661016949154	0.179083366	0.00008852400000000001	4	4977	5304	5026	24762	4552	5212	5292	5180	5286	5226	5233	5230	58.33512631578947	58.704240000000006	60.36978333333334	0	55.89314210526316	56.352540000000005	59.478106666666655	61.21923684210527	60.31307999999999	60.242583333333336	60.10956333333334	59.805839999999996
1	40	74	3	7	126	6.455172413793103	235.79310344827587	0.179083366	0.00008852400000000001	4	7411	7496	7458	24762	6777	7400	7730	7616	7728	7644	7460	7668	114	116.89655172413794	114.56222222222225	0	102.89655172413794	114.86206896551724	117.3103448275862	117.41379310344827	118.92234666666667	118.58258888888888	115.26552666666667	118.30532000000001
1	50	74	3	8	126	6.422671186440678	167.9814459770115	0.179083366	0.00008852400000000001	4	10076	10104	10128	24762	9073	10082	10160	10298	10166	10080	9220	10102	141.26521666666665	144.25482333333332	141.66825365853657	0	128.98783333333333	142.87439666666666	146.49756	144.73146750000004	147.41819166666667	146.92020666666667	139.3939233333333	146.80208333333334
1	60	114	3	11	126	46.539347457627116	103.04053247126438	0.30248641091666667	0.010439171799999999	5	9980	10042	9844	22375	8971	9990	10056	10182	10034	9994	8946	10018	197.78090800000004	201.60721600000005	199.716	0	180.680152	199.95636266666668	203.8891946666667	202.17725000000002	205.0008	201.99400000000003	185.8311066666667	204.431436
1	70	120	3	8	126	53.05728813559322	104.0677966101695	0.21164067841666667	0.008801062	6	11948	12013	12024	25767	10813	11854	12030	12137	12008	12212	10741	11984	224	226.35593220338984	225.08474576271186	0	206.59322033898306	223.66101694915255	227.4237288135593	227.1864406779661	229.12489655172416	227.35593220338984	205.74576271186442	228.90740804597704
1	80	130	3	8	126	53.59322033898305	77.71186440677965	0.22186828216666665	0.007639253285714285	7	13924	13953	13975	26175	12126	13806	13978	13942	13940	13914	12295	13906	251.79661016949152	253.54237288135593	252.15254237288136	0	221.83050847457628	250.57627118644066	258.7586206896552	251.72881355932202	255.53017241379314	255.11111494252873	227.8543379310345	255.23530344827586
1	91	130	3	7	126	53.59322033898305	77.75395833333334	0.22186828216666665	0.007639253285714285	7	16364	16389	16399	26175	13906	16198	16420	15764	16376	16350	14375	16342	226.32203389830508	225.27118644067795	225.8749629310345	0	198	224.5084745762712	227.37457241379312	220.864406779661	226.2524948275862	226.43171379310348	194.716324137931	226.54628735632184
