t	slot	cpu	diskGB	onchain	submitted	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1787331145	75	18	108	0	666.0471694915254	1428	2276	2430	25903	4516	4396	11174	4520	4042	11817	3992	4032	0	0	0	0	0	0	0	0	0	0	0	0
1787331155	84	17	108	12.49011794871795	726.5927188627666	4835	5380	5555	25879	10662	10558	18519	10638	10202	18293	10148	10172	44.049607692307696	47.92307692307692	49.88935128205127	28.538461538461537	88.22809230769231	90.78231794871795	57.0051282051282	88.65846153846152	87.48205128205127	56.93333333333333	86.29743589743589	87.41025641025641
1787331165	84	16	108	12.018792028985509	774.1054712643678	9026	9498	9611	25879	17922	17806	27248	17886	17456	27016	17390	17426	144.3081608695652	144.55652173913043	147.06435072463768	31.130434782608695	262.58135217391305	258.67826086956524	170.5391304347826	263.1820173913043	258.4	170.81739130434784	258.1913043478261	258.67826086956524
1787331175	84	10	108	11.832775252525252	806.2094734297108	13224	12865	12738	25879	23049	23461	32632	23029	23217	32455	23193	23207	193.33629545454545	185.48024117647057	190.00222777777782	30.639710784313728	336.4807666666667	329.2994867647059	223.73817647058823	336.7895212121212	333.5050848039216	222.42156274509804	333.93294117647065	333.84215
1787331185	113	12	108	84.01869186046514	782.6949152542372	12756	10941	11341	25617	23166	23145	32555	23049	23326	32150	23348	23329	285.0566162790698	248.44651162790697	255.34426899224803	54.84651162790698	439.8065395348837	435.4976744186046	257.138365530303	432.1720930232558	436.7676106060606	255.931225	437.6502000000001	436.9873181818181
1787331195	113	10	108	82.02109907407406	570.1016949152543	17386	14060	14992	25617	28757	28735	32764	28643	28422	32215	28437	28414	328.08782222222214	281.301874691358	288.8290728395062	56.28355555555555	489.6366716049383	493.0022425925926	273.05421018518524	487.9382083333333	495.82832962962965	268.1124530864198	496.64260648148155	496.28989197530865
1787331205	113	9	108	77.42372881355932	403.3708387931035	21567	16954	17998	25617	33544	33540	32764	33445	33237	32215	33265	33246	429.22033898305085	348.91525423728814	364.77966101694915	56.13559322033898	609.1355932203389	610.5593220338983	271.54237288135596	607.6610169491526	609.4237288135594	270.01724137931035	610.0847457627119	609.5762711864406
1787331215	113	4	108	70.91525423728814	271.2705037356322	25750	19797	20623	25617	34956	34907	32764	34808	34595	32215	35092	34797	390.6779661016949	290.33898305084745	308.2888948275862	25.796610169491526	481.6779661016949	480.0169491525424	162.79661016949152	478.79661016949154	483.2931034482759	157.48174655172417	492.13793103448273	486.2241379310345
1787331225	113	4	108	71.07870574712645	138.1336132183908	29339	22848	23534	25617	34956	34907	32764	34808	34595	32215	35092	34797	391.0847	312.93220338983053	293.0531120689655	25.796610169491526	395.9731163793104	393.6779661016949	105.33898305084746	392.7460204022989	395.4310344827586	99.48783505747126	399.9362086206897	394.1556146551724
1787331235	164	16	108	223.23728813559322	157.22033898305085	23559	15596	17220	24062	27087	26992	25679	26950	26477	25635	26812	26612	373.0508474576271	265.06779661016947	278.3728813559322	30.74576271186441	268.6949152542373	267.8813559322034	46.5	267.40677966101697	264.985	40.50847457627118	271.87820632183906	268.1972275862069
