phase	t	slot	bpsUp	cpu	diskGB	confBps	submitted	blockdelay	partition	blocks	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	0	54	3	9	126	0	371.9446725146199	0.06367377272727272	0.000037209	1	866	1494	868	23550	874	825	746	1600	702	1412	689	700	0	0	0	0	0	0	0	0	0	0	0	0
1	10	54	3	8	126	0	387.8813559322034	0.06367377272727272	0.000037209	1	3300	3898	3302	27581	3308	3106	3182	4042	3144	4098	3166	3380	29.843666666666664	30.26153846153846	29.799692307692304	0	30.097446153846157	30.53126153846154	29.596153846153847	31.43714871794872	29.51388888888889	30.883038461538465	29.412491025641028	29.44241794871795
1	20	82	3	8	126	1480.1481762711865	386.54237288135596	0.20112933175	0.00017007250000000002	2	5292	5880	5310	31043	5338	5010	4926	6020	5352	6090	4952	5400	87.30845217391304	87.3391304347826	87.43216231884057	0	88.14972173913043	85.55766086956521	83.13550724637682	89.49361304347828	85.97727272727272	88.83889130434784	79.3944347826087	86.89587536231885
1	30	99	3	30	126	1482.695593220339	389.66101694915255	0.22895291916666669	0.02805129266666667	2	7694	8294	7738	35078	7756	7004	6857	8446	7050	8500	2592	7488	115.9131696969697	115.25656565656566	116.0710717171717	0	116.74701818181819	110.3808080808081	108.75656565656567	117.99563636363636	108.94270833333333	117.46598787878786	108.0955393939394	114.90104166666666
1	40	99	3	8	126	17470.514813559323	390.1186440677966	0.2782359550833333	0.02805129266666667	3	6114	6654	6170	35097	6156	5396	4297	6840	5370	6656	4423	5888	168.31876666666668	170.51481212121215	173.0714372093023	0	169.06470909090908	158.01336363636364	146.22051818181816	170.7537727272727	161.42160465116282	173.73174418604648	147.3442042635659	170.28631395348836
1	50	99	3	8	126	17607.693103448273	394.3448275862069	0.2782359550833333	0.02805129266666667	3	8308	9060	8360	39126	8346	7623	6316	9036	7370	9090	5927	7860	198.45471698113212	198.84664259259256	199.26226415094342	0	199.12767295597487	185.80486635802467	163.97231481481484	200.61509433962263	189.11271320754716	202.3343597484277	163.88172075471698	198.97585911949682
1	60	99	3	8	126	17525.84526101695	395.47457627118644	0.2782359550833333	0.02805129266666667	3	10984	11470	11044	43148	11022	9124	8366	11718	9323	11532	7613	9803	254.58704237288134	255.6271186440678	255.540602259887	0	255.33644745762717	227.61937259887006	216.98750819209044	258.271186440678	233.4740881355932	262.6896551724138	204.92537231638417	240.63341468926552
1	70	99	3	8	126	17553.954311864407	390.4721333333334	0.2782359550833333	0.02805129266666667	3	13420	13864	13480	47162	13456	11286	10242	14156	11072	13970	9825	12091	229.25423728813558	226.88135593220338	230.20338983050848	0	229.6949152542373	196.83050847457628	178.59322033898306	229.25423728813558	200.18965517241378	230.67183678160916	180.94827586206895	213.32758620689654
1	80	99	3	7	126	16269.152542372882	394.32926436781605	0.2782359550833333	0.02805129266666667	3	15858	16274	15674	51186	14982	13363	11781	16592	12929	16404	11407	14335	259.0508474576271	256.271186440678	231.28047471264367	0	244.16949152542372	220.54237288135593	181.9655172413793	259.5593220338983	191.44015632183908	231.28212988505746	174.98154310344827	211.27367126436778
1	90	99	3	8	126	0	402.3898305084746	0.2782359550833333	0.02805129266666667	3	18292	18680	18358	55185	17278	15502	13458	19026	14522	19088	13475	16955	231.38983050847457	228.71186440677965	231.864406779661	0	213.94915254237287	196.54237288135593	169.600033045977	231.864406779661	185.15969137931035	231.89830508474577	171.8135593220339	208.6949152542373
1	101	99	3	8	126	0	402.40677966101697	0.2782359550833333	0.02805129266666667	3	20718	21090	20798	59183	19708	17941	15558	21454	16128	21270	14766	19141	231.4237288135593	232.68965517241378	231.864406779661	0	213.76271186440678	196.47457627118644	173.3249462643678	231.79661016949152	172.2391091954023	232.15117241379312	168.8601827586207	209.18363505747126
1	111	99	3	8	126	0	394.67759770114947	0.2782359550833333	0.02805129266666667	3	23154	23494	23222	63201	22139	20378	17631	23892	18152	23700	16780	21569	260.33898305084745	230.30923275862065	260.64406779661016	0	242.67796610169492	226.4237288135593	206.8842298850575	260.8135593220339	190.12321839080457	260.6777471264368	191.4678344827586	237.69235
1	121	99	3	9	126	0	401.7118644067797	0.2782359550833333	0.02805129266666667	3	25586	25894	25658	67604	24321	22814	19840	26328	20760	26380	18543	24179	231.4237288135593	229.92228965517242	231.59322033898306	0	213.72881355932202	217.08620689655172	174.32203389830508	231.76271186440678	173.4237288135593	231.76271186440678	172.4237288135593	223.64406779661016
1	131	99	3	8	126	0	399.9491525423729	0.2782359550833333	0.02805129266666667	3	28016	28294	28092	71205	26749	24942	21306	28764	22956	28815	20600	26367	260.23728813559325	258.2868275862069	260.50847457627117	0	238.32203389830508	245.42132758620687	200.42718620689658	260.7457627118644	209.11381810344827	260.6779661016949	187.94915254237287	254.26181896551722
1	141	99	3	7	126	0	399.728813559322	0.2782359550833333	0.02805129266666667	3	30454	30690	30532	75209	29181	27332	22939	31196	25041	31010	22792	28242	235.3793103448276	228.89925459770117	231.52542372881356	0	228.05172413793102	222.0577712643678	181.21282499999998	235.6551724137931	188.91391896551724	230.5539218390805	176.40794482758622	225.67036149425283
1	151	99	3	8	126	0	399.7118644067797	0.2782359550833333	0.02805129266666667	3	32892	33344	32962	79611	31482	29289	24778	33880	27471	33680	25461	30727	264.8965517241379	257.1186440677966	264.8620689655172	0	256.1539655172413	242.45762711864407	197.45762711864407	262.35150229885056	225.35593220338984	260.54237288135596	210.8135593220339	246.5084745762712
1	161	222	3	9	126	29658.362517241378	387.98275862068965	0.4249160931666667	0.06238780375	4	31604	31818	31704	79113	30024	27534	23386	32332	26103	32356	24117	29309	227.93062241379312	223.93779999999998	228.25278620689656	0	218.44376666666665	209.5523077586207	170.71186440677965	227.87854022988506	210.32203389830508	230.0344827586207	198.66101694915255	210.61016949152543
1	171	232	3	9	125	30969.35593220339	373.5969798850574	0.2632577775	0.0500666452	5	33686	33870	33806	82550	32072	29503	24842	34372	27973	34178	25919	31143	251.864406779661	221.76271186440678	252.8135593220339	0	242.0677966101695	228.22033898305085	172.71186440677965	251.32203389830508	210.59322033898306	227.55172413793102	203.75862068965517	211.9655172413793
1	181	243	3	8	125	83373.10704482759	363.36319999999995	0.5971745875833333	0.09190616333333333	6	22153	22607	22287	72482	20783	18203	13260	23093	16702	22867	14641	19759	219.96717241379312	217.96610169491527	220.86551724137934	0	213.84745762711864	195.74576271186442	194.03389830508473	218.94915254237287	213.08620689655172	219.67449137931033	213.22108477011497	206.1551724137931
1	191	243	3	8	125	83150.44067796611	370.2542372881356	0.5971745875833333	0.09190616333333333	6	24831	25007	24963	76492	23185	19568	14523	25530	18499	25299	17069	22191	219.28813559322035	218.01694915254237	220.4406779661017	0	213.77966101694915	193.59322033898306	172	218.74576271186442	207.78088390804595	219.36034367816092	218.6923787356322	203.8081646551724
1	201	243	3	9	125	83150.44067796611	363.75290459770116	0.5971745875833333	0.09190616333333333	6	27267	27413	27393	80488	25609	21555	16094	27965	20526	27727	19108	24587	248.20338983050848	246.77966101694915	249.32203389830508	0	242.15254237288136	205.01694915254237	179.2489666666667	247.89830508474577	227.42277586206896	247.94745287356318	243.23263448275864	234.62813218390804
1	212	278	3	46	125	136819.3220338983	358.40677966101697	0.6565743350833333	0.124072213	7	29417	29547	29485	83837	27779	23721	17601	30081	22309	30089	20621	26969	219.15254237288136	221.82758620689654	220.47457627118644	0	214.84745762711864	187.98305084745763	165.70991867816093	218.84745762711864	195.30363563218387	218.54237288135593	203.77966101694915	214.6949152542373
1	222	288	3	14	125	108817.83050847458	352.0047025862069	0.2986569329166667	0.108642844125	8	30806	30982	30946	86723	29218	25119	18462	31432	23751	31686	22241	28596	244.16949152542372	244.90924310344826	245.45762711864407	0	244.64406779661016	212.67796610169492	178.4509166666667	243.15254237288136	220.7219275862069	243.99422758620693	230.10808275862067	243.2137040229885
1	232	299	3	43	125	159514.98305084746	356.8474576271186	0.6188312208333333	0.12783647322222222	9	33086	33244	33204	89823	31404	27389	6971	33696	12681	33766	10794	30658	218.16949152542372	218.78763850574714	218.91525423728814	0	217.5593220338983	194.56327586206896	154.03389830508473	217.5593220338983	194.89830508474577	218.03389830508473	200.76271186440678	216.79661016949152
1	242	299	3	9	125	107333.89830508475	362.864406779661	0.6188312208333333	0.12783647322222222	9	21969	22111	22093	80064	20273	16286	8431	22585	14825	22417	12800	19315	247.59322033898306	218.52909770114945	218.98305084745763	0	218.10169491525423	194.56534482758622	154.00362988505745	221.58620689655172	193.2068933908046	217.9507471264368	196.5011077586207	217.9956028735632
