t	slot	cpu	diskGB	onchain	submitted	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1787329265	39	4	17	-	455.5954901234568	-	-	-	16786	-	-	11480	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1787329276	39	4	17	-	573.4991557734204	-	-	-	20666	-	-	15367	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1787329286	89	11	17	0	690.5001485034259	2760	2636	1714	25906	3794	3712	20769	3780	3460	3408	3420	3440	0	0	0	0	0	0	0	0	0	0	0	0
1787329296	104	41	17	13.87264	684.9223470443349	5484	5406	3302	25887	7636	7592	26411	7650	7806	7752	7758	7796	90.88947999999999	89.45777777777778	61.08411111111111	23.43111111111111	120.44155777777777	122.40681555555555	58.702222222222225	121.36965777777779	118.22222222222223	119	118.18666666666667	118.50666666666666
1787329306	104	10	17	20.220672	604.2542372881355	8700	8568	5346	25996	11996	11898	28148	11978	12131	12074	12078	12110	130.272694	128.47466666666665	88.13446666666667	28.634666666666664	171.95404800000003	173.36409599999996	78.312	172.296048	169.29947692307692	170.37156266666668	168.9972153846154	169.4247076923077
1787329316	104	10	17	19.968548571428574	472.5254237288135	12388	12272	7802	25996	16880	16772	28148	16866	16526	16468	16466	16496	218.02118476190475	215.99999999999997	146.62021714285717	28.319999999999997	288.57228000000003	285.3942857142857	77.45142857142856	289.1183676190476	226.1828571428571	226.50490196078428	225.56571428571425	226.11428571428567
1787329326	129	13	17	105.72429333333334	383.64406779661016	10920	11180	5176	25297	16592	16954	25430	16548	16730	16598	16650	16678	258.76649999999995	255.6410608695652	173.90780074074073	28.06544492753623	342.9363207407407	336.90461231884063	77.02044130434783	343.00728444444445	340.44281739130435	340.27315259259257	339.5768550724638	340.0398289855073
1787329336	129	10	17	105.25154545454544	315.76271186440675	14580	14497	7614	26527	21466	21326	29596	21418	21116	21468	21522	21548	301.1681054545454	299.03999999999996	202.22696969696972	51.07878787878787	399.5948951515152	395.5636363636363	103.5151515151515	395.2921212121212	395.6654545454545	396.75638545454547	396.3526666666667	396.7524321428572
1787329346	129	10	17	104.10169491525424	194.22413793103448	18608	18522	10059	26527	26840	26700	29596	26776	26476	26348	26402	26432	342.33898305084745	343.0169491525424	230.885424137931	31.050847457627118	454.8813559322034	454.23728813559325	90.0677966101695	454.135593220339	454.7457627118644	509.79661016949154	453.76271186440675	453.89830508474574
1787329356	129	10	17	85.03648275862069	131.06896551724137	21904	22180	12482	26527	31220	31094	29596	31166	31354	31216	31268	31298	344.81946379310347	344.06779661016947	230.74711896551725	28.677966101694913	458.68744310344823	456.6769109195402	62.101694915254235	457.5066827586206	456.6101694915254	462.58620689655174	455.22033898305085	455.45762711864404
1787329366	129	8	17	84.57627118644068	105.81764999999999	25956	25209	15186	26527	35731	35775	29596	35848	35592	35491	35524	35554	389.9830508474576	383.23728813559325	259.89830508474574	23.016949152542374	511.52542372881356	511.1694915254237	41.49152542372882	511.135593220339	511.7118644067797	519.2931034482758	520.0172413793103	511.2542372881356
1787329376	129	4	17	84.82426436781608	105.68211666666667	29240	27975	17376	26527	35731	35964	29596	36341	36339	36431	36377	36431	347.22193965517243	328.33898305084745	231.37797040229884	23.016949152542374	409.77966101694915	413.3898305084746	41.49152542372882	419.728813559322	427.17241379310343	424.36019540229887	424.64172413793096	429.5
1787329386	192	40	17	0	37.28813559322034	32533	30474	15944	26527	35731	35964	29596	36341	36339	36431	36377	36431	384.49152542372883	351.1186440677966	258.9830508474576	23.016949152542374	354.2542372881356	358.10169491525426	42.206896551724135	364.64406779661016	366.6518166666667	367.35593220338984	368.5494752873563	369.10322844827584
1787329396	192	4	17	66.84745762711864	96.42320862068965	31615	29520	18392	27793	35791	36009	29630	36489	36495	36502	36464	36479	332.1525423728813	297.5593220338983	229.22033898305085	22.440677966101696	279.6779661016949	282.728813559322	22.551724137931036	291.08474576271186	292.21444655172417	293.18268620689656	293.84304741379316	294.4488364942529
1787329407	192	3	17	66.84745762711864	96.23728813559322	34267	32304	20844	27793	35791	36009	29630	36489	36495	36502	36464	36479	354.5762711864407	320.135593220339	258.1864406779661	34.241379310344826	248.35593220338984	252.03389830508473	25.982010344827586	260.49152542372883	260.10169491525426	261.96610169491527	261.03389830508473	260.96610169491527
1787329417	192	3	17	66.84745762711864	96.23728813559322	34267	33848	23290	27793	35791	36009	29630	36489	36495	36502	36464	36479	267.64406779661016	264.4310344827586	229.6271186440678	34.241379310344826	132.32203389830508	135.83050847457628	25.943472413793103	144.28813559322035	144.237108045977	146.06100689655173	145.36380172413791	145.29195862068966
1787329427	227	14	17	302.23728813559325	141.91405344827587	22176	21429	11589	20985	23945	24004	21240	24686	24324	24297	24257	24279	223.94915254237287	225.25333103448273	228.20706379310343	33.85502241379311	82.22033898305085	86.01694915254237	25.908437931034484	94.20338983050847	94.12252068965516	95.53209827586207	94.94746091954023	94.73497011494254
1787329437	227	13	17	302.23728813559325	289.6101694915254	25102	24962	14058	27359	28802	28571	27606	29504	29182	29638	29115	29106	248.74576271186442	232.90594137931035	254.64406779661016	83.52605977011494	165.9322033898305	164.3103448275862	75.79307586206896	168.3050847457627	168.45650344827587	166.3728813559322	165.8706014367816	164.75837844827586
1787329447	248	13	17	470.77966101694915	383.2033898305085	14014	20054	7697	18775	19076	18632	27227	19742	19952	19816	19895	19830	201.45762711864407	232.03389830508473	227.33898305084745	110.33898305084746	220.77966101694915	214.40157758620688	102.88135593220339	221.59322033898306	221.6949152542373	221.83050847457628	221.33898305084745	220.10169491525423
1787329457	248	14	17	470.77966101694915	433.4406779661017	17993	22239	10127	24507	23931	23205	30798	24548	24312	24616	24261	24167	256.1206896551724	253.19240689655174	250.864406779661	136.6950143678161	291.55172413793105	275.63031580459767	84.87418735632184	291.8965517241379	287.63711264367817	285.3762448275862	285.4199172413793	282.8775701149425
1787329467	266	14	16	634.1379310344828	542.8644067796611	11434	12480	1494	23029	14212	13170	21845	14735	15006	14871	14946	14804	222.6551724137931	219.6271186440678	218.70689655172413	149.9322033898305	311.9310344827586	290.1359353448276	88.23728813559322	306.1990689655172	306.3728813559322	303.79661016949154	305.1186440677966	302.0508474576271
1787329477	266	15	16	623.3898305084746	687.6034482758621	15262	16434	4165	29368	19537	18198	27712	20026	19858	19719	19795	19615	293.08474576271186	295.33898305084745	243.5084745762712	207.4237288135593	421.8135593220339	397.77966101694915	139.15254237288136	418.66101694915255	421.728813559322	419.135593220339	420.3898305084746	416.7457627118644
1787329487	266	12	16	389.9599574712644	705.532983908046	18517	19722	6356	33211	23897	22310	32968	24388	24690	24553	24638	24422	303.78090689655176	307.03899396551725	219.65816091954022	215.35593220338984	441.19639224137933	413.1164612068966	133.67796610169492	436.33680459770113	438.135593220339	443.67241379310343	438.1186440677966	434.06779661016947
1787329497	305	54	16	388	574.0779853448278	22404	23603	3335	33211	29086	27223	33086	29590	29520	29393	29456	29226	352.4237288135593	307.6779661016949	246.25423728813558	186.4406779661017	494.45762711864404	412.64406779661016	113.50847457627118	435.1186440677966	445.51724137931035	438.8239114942528	445.5	441.6551724137931
1787329507	312	15	16	322.59322033898303	555.6779661016949	15734	19440	4929	27361	23218	21098	30791	23667	23523	23756	23399	23185	326.135593220339	317.4406779661017	218.76271186440678	180.67796610169492	444.64406779661016	464.4237288135593	89.86440677966101	441.10169491525426	444.93965747126435	441.9830508474576	445.8228137931034	442.9643922413793
1787329517	321	12	16	329.10169491525426	494.4920137931034	18920	21659	7113	32394	26995	24644	32654	27450	27349	27080	27223	26960	319.1525423728813	313.8135593220339	214.76271186440678	155.59322033898306	436.6779661016949	409.89830508474574	103.6896551724138	433.3220338983051	437.45041896551726	434.41519051724134	436.02118793103443	433.8611931034483
1787329528	321	10	16	176.4915254237288	391.45762711864404	21798	25317	9650	32933	30991	28354	32654	31443	31340	31472	31200	30921	359.59322033898303	352.1864406779661	248	152.71186440677965	482.23728813559325	453.45762711864404	98.33748390804597	480.66101694915255	483.777	479.40677966101697	482.04059770114935	480.5336500000001
1787329538	321	5	16	176.4915254237288	258.55792385057475	24559	28975	12094	32933	34126	32062	32654	33858	33210	33831	33470	33970	318	298.5	218.9263818965517	96.86206896551724	414.2542372881356	388.6271186440678	47.02548275862069	413.52542372881356	406.487	411.8797844827586	412.43905747126433	411.8727126436782
1787329548	321	28	16	176.4915254237288	169.93220338983053	27314	32579	14534	32933	34126	33173	32654	33858	33210	33831	33470	33970	340.6949152542373	339.2678132183908	248.4915254237288	67.12463448275861	375.03389830508473	382.50847457627117	31.412799425287357	361.9830508474576	348.0902841954023	360.4594071839081	354.0250439655172	366.5983227011494
