phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
3	0	1094	49	130268		51	51		51	652.0	4400	4461	4436	9678	6200	6223	9773	6241	6246	9822	6258	6285	2868800	2908572	2892272	6310056	4042400	4057396	6371996	4069132	4072392	6403944	4080216	4097820												
3	10	1094	49	130268	0	51	51		51	652.0	7539	7604	7584	16327	10495	10516	16453	10534	10534	16499	10547	10577	4915428	4957808	4944768	10645204	6842740	6856432	10727356	6868168	6868168	10757348	6876644	6896204	219	222	222	202	303	303	201	303	303	200	303	302
3	20	1124	51	879356	74909	53	53		53	652.0	8888	9001	9036	20328	12717	12722	20420	12721	12716	20435	12712	12711	5794976	5868652	5891472	13253856	8291484	8294744	13313840	8294092	8290832	13323620	8288224	8287572	390	387	399	349	539	538	358	537	537	358	539	538
3	30	1124	51	879356	0	53	53		53	652.0	11568	11614	11712	26037	16336	16366	26179	16391	16381	26237	16404	16430	7542336	7572328	7636224	16976124	10651072	10670632	17068708	10686932	10680412	17106524	10694756	10712360	161	165	162	148	208	208	141	213	210	138	208	210
3	40	1124	51	879356	0	53	53		53	652.0	14689	14725	14823	29366	20614	20629	30211	20671	20671	30240	20677	20701	9577228	9600700	9664596	19146632	13440328	13450108	19697572	13477492	13477492	19716480	13481404	13497052	439	435	437	272	601	600	311	601	601	314	600	601
3	50	1124	51	879356	0	53	53		54	652.0	17743	17854	17950	29366	24912	24910	30211	24947	24956	30240	24951	24979	11568436	11640808	11703400	19146632	16242624	16241320	19697572	16265444	16271312	19716480	16268052	16286308	218	220	220	0	302	302	0	303	302	0	303	303
3	60	1154	52	6456692	557734	54	54		54	652.0	11543	11877	12023	26314	20008	20026	26947	20086	20052	27066	20117	20139	7526036	7743804	7838996	17156728	13045216	13056952	17569444	13096072	13073904	17647032	13116284	13130628	144	149	152	34	198	202	24	202	197	17	201	203
3	70	1154	52	6456692	0	54	54		54	652.0	14665	15357	15523	29191	25004	25030	30184	25089	25046	30126	25111	25141	9561580	10012764	10120996	19032532	16302608	16319560	19679968	16358028	16329992	19642152	16372372	16391932	435	484	489	390	697	697	385	696	696	388	698	697
3	80	1154	52	6456692	0	54	54		54	652.0	17758	18526	18754	29191	29420	29467	30184	29512	29457	30126	29536	29556	11578216	12078952	12227608	19032532	19181840	19212484	19679968	19241824	19205964	19642152	19257472	19270512	218	235	238	0	331	333	0	332	334	0	333	332
3	90	1154	52	6456692	0	54	54		54	652.0	20883	21631	21882	29191	30744	30717	30184	30457	30720	30126	30282	30606	13615716	14103412	14267064	19032532	20045088	20027484	19679968	19857964	20029440	19642152	19743864	19955112	436	436	442	0	381	372	0	343	377	0	331	359
3	100	1154	52	6456692	0	54	54		55	652.0	24066	24741	24985	29191	30744	30717	30184	30457	30720	30126	30282	30606	15691032	16131132	16290220	19032532	20045088	20027484	19679968	19857964	20029440	19642152	19743864	19955112	220	220	218	0	0	0	0	0	0	0	0	0
3	110	1205	53	12240092	578340	55	55		55	652.0	17424	18122	18448	24682	24678	24785	25929	24627	24823	25853	24515	24799	11360448	11815544	12028096	16092664	16090056	16159820	16905708	16056804	16184596	16856156	15983780	16168948	363	354	362	232	256	272	236	279	265	221	276	278
3	120	1216	54	21239516	899942	56	56		56	652.0	11489	7670	12187	22068	15806	15825	18574	15717	15892	23009	15906	15911	7490828	5000840	7945924	14388336	10305512	10317900	12110248	10247484	10361584	15001868	10370712	10373972	166	189	166	215	277	267	224	270	266	216	272	271
3	130	1233	55	24268268	302875	57	57		58	652.0	14929	7285	15173	28827	21950	21930	26059	21806	21927	29708	22154	21962	9733708	4749820	9892796	18795204	14311400	14298360	16990468	14217512	14296404	19369616	14444408	14319224	266	342	229	335	482	485	334	485	485	337	505	483
3	140	1235	56	24356396	8813	58	58		58	652.0	14864	10582	14914	28859	21572	21571	26771	21485	21632	29482	22054	21737	9691328	6899464	9723928	18816068	14064944	14064292	17454692	14008220	14104064	19222264	14379208	14172524	361	480	322	395	650	645	442	648	644	394	674	654
3	150	1251	58	29077076	472070	60	60		60	652.0	12887	6053	13031	24190	17795	17764	23320	17762	17949	25033	18509	18030	8402324	3946556	8496212	15771880	11602340	11582128	15204640	11580824	11702748	16321516	12067868	11755560	195	302	216	77	405	400	245	399	418	80	429	402
3	160	1263	59	29077076	0	61	61		62	652.0	16213	10672	16230	28749	24210	24115	29207	24139	24358	29374	25111	24347	10570876	6958144	10581960	18744348	15784920	15722980	19042964	15738628	15881416	19151848	16372372	15874244	385	514	349	327	708	713	408	726	711	321	742	721
3	170	1268	60	37112276	803521	63	63		63	652.0	6194	8398	12380	19306	14277	14215	23670	13958	14266	25335	15065	14998	4038488	5475496	8071760	12587512	9308604	9268180	15432840	9100616	9301432	16518420	9822380	9778696	140	124	57	56	147	139	40	108	126	31	137	125
3	180	1268	60	37112276	0	64	63		64	652.0	10986	13118	14517	27751	21158	21080	28566	20809	21112	29324	22209	22102	7162872	8552936	9465084	18093652	13795016	13744160	18625032	13567468	13765024	19119248	14480268	14410504	255	573	246	240	818	823	366	828	817	321	837	847
3	190	1285	62	44891516	777924	65	65		65	652.0	8968	9457	5654	26205	13527	13500	26345	13371	13589	22212	14666	14651	5847136	6165964	3686408	17085660	8819604	8802000	17176940	8717892	8860028	14482224	9562232	9552452	510	74	155	465	212	214	107	213	213	101	232	237
3	200	1285	62	44891516	0	65	65		65	652.0	12674	13092	10314	28366	20759	20715	28397	20587	20820	29422	21903	21879	8263448	8535984	6724728	18494632	13534868	13506180	18514844	13422724	13574640	19183144	14280756	14265108	320	207	325	256	506	506	264	502	506	337	504	506
