phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	0	30	0	0		1	1		1	232.0				14327												3323864																				
1	10	48	1	0		2	2		2	232.0				18125												4205000																				
1	20	48	1	0		2	2		2	232.0		526		21957		568	570	576						122032		5094024		131776	132240	133632																
1	30	48	1	0		2	2		2	232.0	2226	2954	2206	24274	2242	3004	3014	3018	2260	2263	2274	2284	516432	685328	511792	5631568	520144	696928	699248	700176	524320	525016	527568	529888												
1	40	48	1	0		2	2		2	232.0	4668	5392	4640	24274	4682	5448	5458	5462	4611	4687	4710	4722	1082976	1250944	1076480	5631568	1086224	1263936	1266256	1267184	1069752	1087384	1092720	1095504	171	171	171	0	171	171	172	172	171	171	171	171
1	50	92	2	87552		3	3		3	232.0	6654	7388	6558	24375	6630	7452	7466	7460	5849	6582	6626	6598	1543728	1714016	1521456	5655000	1538160	1728864	1732112	1730720	1356968	1527024	1537232	1530736	336	338	327	0	333	338	338	338	252	325	328	324
1	60	92	2	87552	0	3	3		3	232.0	9088	9822	8932	24379	8838	9890	9902	9898	7853	8992	8574	8712	2108416	2278704	2072224	5655928	2050416	2294480	2297264	2296336	1821896	2086144	1989168	2021184	170	169	169	0	169	171	171	170	165	169	170	155
1	70	92	2	87552	0	3	3		3	232.0	11518	12254	11366	24379	11270	12324	12334	12308	9715	11426	10366	10615	2672176	2842928	2636912	5655928	2614640	2859168	2861488	2855456	2253880	2650832	2404912	2462680	341	341	337	0	318	342	341	339	247	341	229	278
1	80	122	3	1448256	136070	4	4		4	232.0	7816	8562	7658	18775	7453	8658	8620	8630	6046	7742	6522	6370	1813312	1986384	1776656	4355800	1729096	2008656	1999840	2002160	1402672	1796144	1513104	1477840	171	170	170	0	160	171	172	171	168	170	159	106
1	90	122	3	1448256	0	4	4		4	232.0	10250	10982	10090	22793	9853	11098	11054	11068	7726	10172	8633	8798	2378000	2547824	2340880	5287976	2285896	2574736	2564528	2567776	1792432	2359904	2002856	2041136	154	156	154	0	154	158	152	156	152	156	144	159
1	100	143	4	4475640	302738	5	5		5	232.0	12570	5948	5094	26526	4486	6100	6016	6018	2110	5154	3475	3750	2916240	1379936	1181808	6154032	1040752	1415200	1395712	1396176	489520	1195728	806200	870000	342	340	342	0	303	342	342	342	218	342	303	339
1	110	145	5	4563192	8755	6	6		6	232.0	7256	7966	7088	22251	6498	8098	8024	8018	3739	7148	5023	5549	1683392	1848112	1644416	5162232	1507536	1878736	1861568	1860176	867448	1658336	1165336	1287368	154	151	152	0	152	153	150	149	142	151	143	141
1	120	145	5	4563192	0	6	6		6	232.0	9692	10394	9513	26273	8874	10538	10462	10458	5386	9577	6900	7896	2248544	2411408	2207016	6095336	2058768	2444816	2427184	2426256	1249552	2221864	1600800	1831872	341	341	342	0	336	343	342	342	246	342	249	322
1	130	145	5	4563192	0	6	6		6	232.0	12104	12824	10946	29820	11282	12968	12825	12880	7134	11032	8766	9531	2808128	2975168	2539472	6918240	2617424	3008576	2975400	2988160	1655088	2559424	2033712	2211192	169	171	99	0	170	170	170	170	106	97	149	131
1	140	145	5	4563192	0	6	6		6	232.0	14540	15238	13039	29820	13586	15406	14988	15312	8611	13101	10928	11491	3373280	3535216	3025048	6918240	3151952	3574192	3477216	3552384	1997752	3039432	2535296	2665912	171	339	279	0	327	343	309	342	228	280	281	257
1	150	145	5	4563192	0	6	6		6	232.0	16968	17632	15149	29820	15383	17838	17416	17744	10418	15307	12443	12790	3936576	4090624	3514568	6918240	3568856	4138416	4040512	4116608	2416976	3551224	2886776	2967280	341	168	147	0	133	171	170	171	113	148	95	82
1	160	195	6	5835432	127224	7	7		7	232.0	13688	14290	11574	27246	11994	14550	14130	14410	6790	11997	9095	9321	3175616	3315280	2685168	6321072	2782608	3375600	3278160	3343120	1575280	2783304	2110040	2162472	157	151	136	0	124	157	157	153	145	155	138	124
1	170	212	8	9089448	325402	9	9		9	232.0	7238	7768	4854	21985	5071	8074	7644	7914	530	5446	2524	2708	1679216	1802176	1126128	5100520	1176472	1873168	1773408	1836048	122960	1263472	585568	628256	326	316	287	0	275	323	320	320	223	314	310	300
1	180	212	8	9089448	0	9	9		9	232.0	9670	10178	7012	25999	7485	10511	10080	10348	2970	7798	4100	4799	2243440	2361296	1626784	6031768	1736520	2438552	2338560	2400736	689040	1809136	951200	1113368	167	167	149	0	166	169	170	169	169	160	132	163
