phase	t	slot	blocks	cumTxBytes	confBps	forged	adopted	didntAdopt	leader	mpBytesPerTx	mp_bp1	mp_bp2	mp_bp3	mp_relay11	mp_relay12	mp_relay13	mp_relay21	mp_relay22	mp_relay23	mp_relay31	mp_relay32	mp_relay33	mpB_bp1	mpB_bp2	mpB_bp3	mpB_relay11	mpB_relay12	mpB_relay13	mpB_relay21	mpB_relay22	mpB_relay23	mpB_relay31	mpB_relay32	mpB_relay33	in_bp1	in_bp2	in_bp3	in_relay11	in_relay12	in_relay13	in_relay21	in_relay22	in_relay23	in_relay31	in_relay32	in_relay33
1	0	244	11	6706392		13	12	1	14	232.0	16016	16016	15418	75798	13771	13809	13111	15838	16164	9935	10369	16184	3715712	3715712	3576976	17585136	3194872	3203688	3041752	3674416	3750048	2304920	2405608	3754688												
1	10	252	14	6969048	26265	16	15	1	16	232.0	16652	16766	16208	78560	14477	14619	13843	16580	16846	10670	11141	16844	3863264	3889712	3760256	18225920	3358664	3391608	3211576	3846560	3908272	2475440	2584712	3907808	256	264	273	0	260	278	240	270	260	242	229	262
1	20	252	14	6969048	0	16	15	1	16	232.0	19078	19206	18638	70111	16911	16921	15869	19004	19274	12388	13499	19278	4426096	4455792	4324016	16265752	3923352	3925672	3681608	4408928	4471568	2874016	3131768	4472496	169	170	170	0	170	157	149	168	169	146	169	169
1	30	252	14	6969048	0	16	15	1	16	232.0	21494	21630	21076	74100	18964	19351	18301	21392	21692	14200	15939	21694	4986608	5018160	4889632	17191200	4399648	4489432	4245832	4962944	5032544	3294400	3697848	5033008	339	341	342	0	303	342	322	336	340	241	335	340
1	40	283	15	10047732	307868	17	16	1	18	232.0	10231	10375	9845	77666	7622	8114	6706	9911	10405	2325	4674	10421	2373592	2407000	2284040	18018512	1768304	1882448	1555792	2299352	2413960	539400	1084368	2417672	171	171	170	0	170	170	140	168	171	101	170	170
1	50	287	16	10135284	8755	18	17	1	18	232.0	12095	12086	11771	67196	9514	10042	8402	11733	12275	3859	6614	12283	2806040	2803952	2730872	15589472	2207248	2329744	1949264	2722056	2847800	895288	1534448	2849656	303	291	314	0	299	314	289	282	302	273	312	304
1	60	287	16	10135284	0	18	17	1	18	232.0	14533	14246	14209	71214	11684	12476	10305	14171	14711	6229	8369	14721	3371656	3305072	3296488	16521648	2710688	2894432	2390760	3287672	3412952	1445128	1941608	3415272	171	152	171	0	144	171	127	171	171	158	123	171
1	70	312	17	12374472	223919	19	18	1	19	232.0	6992	6545	6669	64927	3758	4945	2292	6598	7136	898	932	7152	1622144	1518440	1547208	15063064	871856	1147240	531744	1530736	1655552	208336	216224	1659264	171	151	170	0	150	171	126	171	171	170	115	171
1	80	323	18	15540936	316646	20	19	1	20	232.0	5243	4784	4911	68609	1684	3170	612	4803	5371	646	662	5343	1216376	1109888	1139352	15917288	390688	735440	141984	1114296	1246072	149872	153584	1239576	316	309	316	0	266	314	294	310	313	301	302	311
1	90	323	18	15540936	0	20	19	1	20	232.0	7653	7228	7349	68495	4114	5606	2856	7187	7795	3086	3104	7769	1775496	1676896	1704968	15890840	954448	1300592	662592	1667384	1808440	715952	720128	1802408	167	171	170	0	169	170	170	168	168	171	171	167
1	100	323	18	15540936	0	20	19	1	20	232.0	10089	9660	9785	72509	6338	7959	4538	9597	10234	5526	5548	10201	2340648	2241120	2270120	16822088	1470416	1846488	1052816	2226504	2374288	1282032	1287136	2366632	342	342	342	0	320	342	247	335	343	342	342	342
1	110	351	19	17396856	185592	21	20	1	21	232.0	8272	7869	8002	71962	4394	5821	2759	7790	8422	3740	3747	8378	1919104	1825608	1856464	16695184	1019408	1350472	640088	1807280	1953904	867680	869304	1943696	156	158	156	0	155	119	157	155	156	156	155	153
1	120	363	20	19844436	244758	22	21	1	22	232.0	3916	3551	3666	75644	713	1339	724	3216	4074	746	784	4028	908512	823832	850512	17549408	165416	310648	167968	746112	945168	173072	181888	934496	329	331	331	0	276	311	326	307	328	327	330	329
1	130	376	22	20019540	17510	24	23	1	24	232.0	5448	5159	5262	72184	2281	2879	2326	4784	5594	2366	2386	5608	1263936	1196888	1220784	16746688	529192	667928	539632	1109888	1297808	548912	553552	1301056	162	168	167	0	168	162	168	166	163	169	168	168
1	140	376	22	20019540	0	24	23	1	24	232.0	7850	7587	7686	75620	4715	5287	4762	7214	8004	4796	4820	8022	1821200	1760184	1783152	17543840	1093880	1226584	1104784	1673648	1856928	1112672	1118240	1861104	161	167	166	0	164	165	167	165	161	167	167	163
1	150	376	22	20019540	0	24	23	1	24	232.0	10286	10027	10126	79627	7149	7727	7194	9488	10442	7223	7250	10462	2386352	2326264	2349232	18473464	1658568	1792664	1669008	2201216	2422544	1675736	1682000	2427184	342	342	342	0	342	341	341	332	342	341	341	342
1	160	376	22	20019540	0	24	23	1	24	232.0	12696	12467	12560	83608	9585	10137	9620	11646	12858	9655	9679	12878	2945472	2892344	2913920	19397056	2223720	2351784	2231840	2701872	2983056	2239960	2245528	2987696	169	171	171	0	171	170	170	160	169	171	170	169
1	170	376	22	20019540	0	24	23	1	24	232.0	15136	14901	14996	87631	12023	12571	12060	13813	15298	12099	11301	15314	3511552	3457032	3479072	20330392	2789336	2916472	2797920	3204616	3549136	2806968	2621832	3552848	342	342	341	0	342	340	342	292	342	342	272	342
1	180	376	22	20019540	0	24	23	1	24	232.0	17576	17333	17436	91649	14449	14985	14492	16046	17734	14531	13300	17754	4077632	4021256	4045152	21262568	3352168	3476520	3362144	3722672	4114288	3371192	3085600	4118928	171	170	171	0	170	170	170	170	172	170	115	171
1	190	376	22	20019540	0	24	23	1	24	232.0	20014	19773	19872	95675	16889	17423	16918	18410	20174	16971	15738	20194	4643248	4587336	4610304	22196600	3918248	4042136	3924976	4271120	4680368	3937272	3651216	4685008	342	171	171	0	171	169	341	150	171	342	341	171
1	200	439	23	21210612	119107	25	24	1	25	232.0	16952	16739	16848	93709	13809	14417	13866	15288	17059	13863	12694	17090	3932864	3883448	3908736	21740488	3203688	3344744	3216912	3546816	3957688	3216216	2945008	3964880	146	318	318	0	314	321	144	305	312	140	146	313
1	210	439	23	21210612	0	25	24	1	25	232.0	19388	19175	19280	97693	16245	16821	15775	17722	19494	16298	15126	19526	4498016	4448600	4472960	22664776	3768840	3902472	3659800	4111504	4522608	3781136	3509232	4530032	168	171	171	0	171	171	170	170	169	171	170	169
