Tx count	Block size [kB]	Apply [ms]	Reapply [ms]	Fraction of blocks [%/100]
0	0	0.343587506662944	0.0711051349087494	0.0338392209686871
0	0	0.54678847558526	0.253789288192542	0.0235183315821921
0	0	0.559169902912621	0.49622572815534	8.8469674334969e-05
0	0	0.56368	0.848946666666667	1.61049164444725e-05
0	0	0.567772184300341	0.362203071672355	0.000503332321944581
0	0	0.5721875	1.10696875	1.37428620326165e-05
0	0	0.572353293413174	0.652862275449102	3.58602806163588e-05
0	0	0.6086	1.3336	1.07366109629817e-06
0	0	0.85619918699187	0.263646341463415	0.000158472377813609
0	0	0.856444444444444	0.506	1.9325899733367e-06
0	0	0.87096	0.35536	5.36830548149083e-06
0	0	0.894862068965517	0.0745086206896552	2.49089374341175e-05
0	0	0.947	1.1355	8.58928877038534e-07
0	0	1.155	0.704	2.14732219259633e-07
0	0	1.74	0.518	2.14732219259633e-07
0	0	1.801	0.055	2.14732219259633e-07
0	0	2.18044444444444	0.253	1.9325899733367e-06
0	0	187.998	201.43875	1.71785775407707e-06
1	0.328777777777778	347.786222222222	363.356	1.9325899733367e-06
1	0.428	2.947	0.664	2.14732219259633e-07
1	0.429441176470588	0.653205882352941	0.831205882352941	7.30089545482753e-06
1	0.456900081804371	0.655146616804955	0.286858735538156	0.00918731800102341
1	0.482930693069307	0.658712871287129	0.646950495049505	2.1687954145223e-05
1	0.48931592689295	0.637921671018277	0.491180156657963	8.22424399764396e-05
1	0.49242208774584	0.677333693537929	0.350272098551978	0.000993565978514324
1	0.507348921491573	0.487147061392018	0.112079862020784	0.0196711891419365
1	0.553379310344828	0.660586206896552	1.13965517241379	6.22723435852937e-06
1	0.56835	0.6764	1.3677	4.29464438519267e-06
1	0.647	0.995071428571429	1.37564285714286	3.00625106963487e-06
1	0.68072	0.83404	0.83784	5.36830548149083e-06
1	0.69321052631579	0.968789473684211	1.12021052631579	4.07991216593303e-06
1	0.693917065673583	0.880510906189041	0.301461074658627	0.00363262495321522
1	0.7335	1.937	1.124	4.29464438519267e-07
1	0.759295774647887	0.899225352112676	0.652760563380282	1.5245987567434e-05
1	0.760266902980176	0.953245634764343	0.34816095575686	0.00163561531410063
1	0.771251773049646	0.909939716312057	0.495333333333333	6.05544858312166e-05
