throughput,committee,engine,seed,label,time_seconds,total_ebs,uncertified_ebs,ebs_with_endorsement,total_votes,votes_per_eb_mean,votes_per_eb_stddev
0.200,wfa-ls,sequential,0,stale,3632.203744466,81,49,17,19984,259.532,269.060
0.200,wfa-ls,sequential,0,stale,3665.554511298,81,49,17,19984,259.532,269.060
0.200,wfa-ls,sequential,0,stale,593.799568193,8,2,2,3549,443.625,246.748
0.200,wfa-ls,sequential,0,stale,780.660498949,19,4,9,8672,456.421,224.174
0.200,wfa-ls,turbo,0,stale,678.925848515,27,7,10,12248,453.630,213.853
0.200,wfa-ls,turbo,1,stale,682.218684132,27,7,10,11983,443.815,223.319
0.200,wfa-ls,turbo,2,stale,676.697912471,27,7,10,11982,443.778,224.639
0.200,wfa-ls,turbo,3,stale,674.711030881,27,7,10,11862,439.333,227.104
0.200,wfa-ls,turbo,4,stale,673.973143080,27,7,10,11927,441.741,225.382
0.200,wfa-ls,turbo,0,stale,673.462840572,27,7,10,11946,442.444,225.714
0.200,wfa-ls,turbo,0,stale,871.585327413,27,5,11,12668,469.185,214.244
0.200,wfa-ls,turbo,0,stale,868.491028928,27,5,11,12668,469.185,214.244
0.200,wfa-ls,sequential,0,stale,2452.903742254,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,0,stale,2428.212310384,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,1,stale,2431.055939182,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,2,stale,2459.680381415,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,3,stale,2459.421070559,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,4,stale,2455.408242207,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,0,stale,2107.823366714,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,1,stale,2107.458313258,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,2,stale,2115.650111513,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,3,stale,2087.060042490,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,4,stale,2110.668616597,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,0,stale,2005.313942079,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,0,stale,2004.796830249,28,8,10,12728,454.571,211.518
0.200,wfa-ls,turbo,0,caps,668.332651439,27,7,10,11625,430.556,238.665
0.200,wfa-ls,turbo,1,caps,997.379297935,65,12,25,30858,474.738,215.965
0.200,wfa-ls,turbo,2,caps,666.252331315,28,6,13,12777,473.222,215.172
0.200,wfa-ls,turbo,3,caps,477.957623475,18,4,8,8438,468.778,195.132
0.200,wfa-ls,turbo,4,caps,882.178481317,44,16,16,16134,366.682,272.809
0.200,wfa-ls,turbo,0,nocaps,866.756438154,27,5,11,12668,469.185,214.244
0.200,wfa-ls,turbo,1,nocaps,1009.938044621,65,11,25,31343,482.200,212.113
0.200,wfa-ls,turbo,2,nocaps,942.765782854,27,6,15,12167,467.962,215.831
0.200,wfa-ls,turbo,3,nocaps,469.709716718,18,4,8,8443,469.056,193.793
0.200,wfa-ls,turbo,4,nocaps,1147.056074099,44,7,22,21193,481.659,204.552
0.200,wfa-ls,sequential,4,caps,2789.657177888,48,19,16,16732,348.583,277.609
0.200,wfa-ls,sequential,3,caps,1232.537512552,18,4,8,8454,469.667,195.757
0.200,wfa-ls,sequential,2,caps,1760.812241322,23,5,12,10510,456.957,229.283
0.200,wfa-ls,sequential,1,caps,3753.863311189,65,12,25,30878,475.046,216.170
0.200,wfa-ls,sequential,0,caps,2011.603857335,28,8,10,12728,454.571,211.518
0.200,wfa-ls,sequential,0,nocaps,2355.119549209,28,5,11,13306,475.214,213.208
0.200,wfa-ls,sequential,1,nocaps,3787.547942024,65,11,25,31345,482.231,212.707
0.200,wfa-ls,sequential,2,nocaps,2509.915508221,27,6,15,12239,470.731,216.830
0.200,wfa-ls,sequential,3,nocaps,1238.146247513,18,4,8,8460,470.000,194.221
0.200,wfa-ls,sequential,4,nocaps,3252.502650679,46,8,22,21794,473.783,212.019
0.200,wfa-ls,sequential,4,caps-fixed,2791.883128342,48,19,16,16732,348.583,277.609
0.200,wfa-ls,sequential,4,caps-retain,3035.712640943,45,8,20,21185,470.778,214.851
